year,country,component,popsize,average,p,thr,bracketavg,s
2010,FR,total,36962517,27727,0,0,5387,0.872
,,,,,0.26387,11682,12868,0.872
,,,,,0.32899,14019,15882,0.872
,,,,,0.43232,17523,20246,0.756
,,,,,0.58924,23364,28735,0.557
,,,,,0.76089,35047,44451,0.261
,,,,,0.91522,58411,76572,0.15
,,,,,0.98419,116822,226255,0.15
